Bishtpala-Outer-Reef,Bishtpala Outer Reef
The-Bombie-and-Boat-Ramp,The Bombie and Boat Ramp
The-Box_1,The Box
The-Farm,The Farm
The-Gallows,The Gallows
The-Guillotine,The Guillotine
The-Quarries,The Quarries
The-Three-Bears,The Three Bears
The-Window,The Window
The-Womb,The Womb
Willyabrup,Willyabrup
Windmills,Windmills
Yallingup-Beach,Yallingup Beach
Blue-Holes,Blue Holes
Bowes-Rivermouth,Bowes Rivermouth
Cable-Beach-Broome,Cable Beach (Broome)
Coronation-Beach,Coronation Beach
Dirk-Hartog-Island,Dirk Hartog Island
Dongara-Port-Denison,Dongara-Port Denison
Drummonds,Drummonds
Dunes_1,Dunes
Explosives_1,Explosives (Geraldton Lighthouse)
Flat-Rocks-Beach,Flat Rocks Beach (WA)
Gantheaume-Point,Gantheaume Point (Broome)
Glenfield,Glenfield
Gnaraloo,Gnaraloo
Greenough,Greenough
Greenough-River-Mouth,Greenough River Mouth
Hells-Gate,Hells Gate
Horrocks,Horrocks
Jakes,Jakes
Lighthouse-Bombie,Lighthouse Bombie
Mahomets,Mahomets Back Beach
Port-Denison,Port Denison
Red-Bluff_2,Red Bluff
Separation-Point,Separation Point
Steep-Point,Steep Point
Sunset-Beach_1,Sunset Beach Geraldron
Tarcoola,Tarcoola (Chanteez)
Turtles-2,Turtles
Alkimos,Alkimos
Artificial-reef,Artificial reef
Avalon-Point,Avalon Point
Back-Beach_2,Back Beach
Bennion-Beach-Cleggies,Bennion Beach Cleggies
Cable-Station-Reef,Cable Station Reef
City-Beach-Groyne,City Beach Groyne
Cottesloe-Beach,Cottesloe Beach
Cozies-and-Geeries,Cozies and Geeries
Derrs,Derrs
Floreat-Groyne,Floreat Groyne
Golden-Bay,Golden Bay
Grabbers,Grabbers
Lancelin,Lancelin
Ledge-Point,Ledge Point
Leighton-Beach,Leighton Beach
Main-Beach_1,Main Beach
Melros,Melros
Mullaloo,Mullaloo
Observation-City,Observation City
Scarborough_2,Scarborough Beach
Secret-Harbour,Secret Harbour
Singleton,Singleton
Swanbourne-Beach,Swanbourne Beach
The-Spot,The Spot
Trigg-Beach-and-Point,Trigg Beach
Trigg-Point,Trigg Point
Watermans,Watermans
Bay-Left-Wall,Bay Left Wall
Bunbury-Ammos,Bunbury Ammos
Bunbury-Bay,Bunbury Bay
Bunbury-BP-Reef,Bunbury BP Reef
Bunbury-Clam,Bunbury Clam
Bunbury-Fragles,Bunbury Fragles
Bunbury-Sidies,Bunbury Sidies
Bunbury-Surf-Club-Backbeach,Bunbury Surf Club Backbeach
Bunbury-The-Groyne,Bunbury The Groyne
Bunbury-The-Wall,Bunbury The Wall
Dalyellup-Beach,Dalyellup Beach
Peppermint-Grove,Peppermint Grove Reef
Port-Geographe-Bay,Port Geographe Bay
Cathedral-Rock_1,Cathedral Rock
Chicken-Reef,Chicken Reef
Radar-Reef,Radar Reef
Salmon-Point,Salmon Point
Stark-Bay,Stark Bay
Strickland-Bay,Strickland Bay
Egg-Island,Egg Island
Hatchet-Bay,Hatchet Bay
Hidden-Beach,Hidden Beach
Holiday-Beach,Holiday Beach
James-Point,James Point
Ledges,Ledges
North-Palmetto-Point,North Palmetto Point
Paradise-Island,Paradise Island
Rock-Sound,Rock Sound
Surfers-Beach_1,Surfers Beach
The-Dump_2,The Dump
Whale-Point-Cut,Whale Point Cut
Four-Rocks,Four Rocks
Garbanzo,Garbanzo
Indicas,Indicas
Rushreef,Rush reef
Sugar-Shack-1,Sugar Shack
Tilloo-Cut,Tilloo Cut
Willawahs,Willawahs
Cox-s-Bazar,Cox's Bazar
Accra-Beach-Rockley-Beach,Accra Beach - Rockley Beach
Barclays,Barclays
Batts-Rock,Batts Rock
Brandons,Brandons
Bridgetown-Harbour,Bridgetown Harbour
Cattlewash,Cattlewash
Chalky-Mount,Chalky Mount
Chalky-Point,Chalky Point
Church-Point,Church Point
Cobblers-Cove,Cobblers Cove
Congor-Bay,Congor BAY
Conset-Point,Conset Point
Crane-Beach,Crane Beach / Foul Bay
Dover-Beach,Dover Beach
Duppys,Duppys
Freights,Freights
Fryers-Well,Fryers Well
Gibbs,Gibbs
High-Rock,High Rock
Long-Beach_7,Long Beach
Martins-Bay,Martin's Bay
Maycocks,Maycocks
Mullins,Mullins
North-Point_1,North Point
Paradise-3,Paradise Beach
Parler,Parler
Pico-Teneriffe,Pico Teneriffe
Ragged-Point,Ragged Point
Round-Rock,Round Rock
Sandbank,Sandbank
Sandy-Lane,Sandy Lane
Silver-Sands,Silver Sands Reef
Six-Mens-Bay,Six Men's Bay
Soup-Bowl,Soup Bowl
South-Point_2,South Point
Surfers-Point-Barbados,Surfer's Point
Tent-Bay,Tent Bay
Tent-Bay-Right,Tent Bay Right
Thunder,Thunder
Tropicana,Tropicana
Walkers,Walkers
Blankenberge,Blankenberge
Casino-Break,Casino Break
Den-Haan-1,Den Haan
Li-l-J-Bay,Li l J Bay
Mariakerke,Mariakerke
Middelkerke,Middelkerke
Nieuwpoort,Nieuwpoort
Ollies-Point-1,Ollies Point
Oostduinkerke,Oostduinkerke
Oostende,Oostende
Surfers-Paradise,Surfer's Paradise
Westende-1,Westende
Zeebrugge-1,Zeebrugge
East-Point,East Point Long Cay
Rocky-Point-1,Rocky Point
San-Pedro-North-Reef-Pass,San Pedro North Reef Pass
San-Pedro-South-Reef-Pass,San Pedro South Reef Pass
Back-Wash,Back Wash
la-Meduse,La Meduse
La-routes-des-peches,La Routes des Pêches
Bouncer-Beach,Bouncer Beach
Castle-Island,Castle Island
Dunkleys,Dunkleys
Horseshoe-Bay_1,Horseshoe Bay
Monizs-Bay,Moniz's Bay
North-Shore-Breakers,North Shore Breakers
Pampas-Road,Pampas Road
Sonesta,Sonesta
The-Reef_4,The Reef
Tuckers,Tuckers
Forjos,Forjos
Garca-Torta,Garca Torta
Jacarecica,Jacarecica
Japaratinga,Japaratinga
Mihai,Mihai
Miranteda-Sirena,Mirante da Sirena
Pedra-Virada,Pedra Virada
Picoda-Barra,Pico da Barra
Pierdo-Emissario,Pier do Emissario
Pontaldo-Coruripe,Pontal do Coruripe
Pontaldo-Peba,Pontal do Peba
Poxim,Poxim
Praiade-Jatiuca,Praia de Jatiuca
Praiado-Frances,Praia do Frances
Praiado-Meio,Praia do Meio
Praiado-Pontal,Praia do Pontal
Praiado-Sobral,Praia do Sobral
Salgema,Salgema
Aleluia,Aleluia
Alex,Alex
Amaralina,Amaralina
Barra-Vento,Barra Vento
Busca-Vida,Busca Vida
Conde,Conde
Corrente,Corrente
Espanhol,Espanhol
Farol,Farol
Farolda-Barra,Farol da Barra
Imbacai,Imbacai
Ipitanga,Ipitanga
Itacimirim,Itacimirim
Itapoa,Itapoa
Mangue-Seco,Mangue Seco
Marlin,Marlin
Meridien,Meridien
Pedrado-Sal,Pedra do Sal
Pescador,Pescador
Plator,Plator
Pontado-Sauipe,Ponta do Sauipe
Praia-de-Jaguaribe,Praia de Jaguaribe
Praia-De-Piata,Praia De Piata
Praiado-Forte_1,Praia do Forte
Psiu,Psiu
Seper,Seper
S-E-S-C,SESC
Stela-Maris,Stela Maris
Tercera-Ponte,Tercera Ponte
Tony,Tony
Tubao,Tubao
Vilas,Vilas
Back-door,Back Door
Baduska,Baduska
Bocada-Barra,Boca da Barra
Corals,Corals
Engenhoca,Engenhoca
Havaizinho,Havaizinho
Itacarezinho,Itacarezinho
Jardim-Atlantico,Jardim Atlantico
Jeribucacu,Jeribucacu
Milionarios,Milionarios
Norte,Norte
Pedrada-Cachorra,Pedra da Cachorra
Pontal,Pontal
Prainha,Prainha
Sao-Jose,Sao Jose
Sul,Sul
Tiririca,Tiririca
Barrado-Ceara,Barra do Ceara
Bocado-Poco,Boca do Poco
Curral,Curral
Hawaiizinho,Hawaiizinho
Icarai,Icarai
Leste-Oeste,Leste Oeste
Outside,Outside
Pedrado-Meio,Pedra do Meio
Ponte-Metalica,Ponte Metalica
Portao,Portao
Praiado-Futuro,Praia do Futuro
Praiado-Pecem,Praia do Pecem
Roncodo-Mar,Ronco do Mar
Tabinha,Tabinha
Titanzinho,Titanzinho
Voltada-Jurema,Volta da Jurema
Bariri,Bariri
Barrado-Sai_Vitoria,Barra do Sai
Barrao,Barrao
Barrinha_Vitoria,Barrinha
Carapebus,Carapebus
Coral-Dois,Coral Dois
Coral-Um,Coral Um
Dunasde-Ule,Dunas de Ule
Jacaraipe,Jacaraipe
Maimba,Maimba
Manguinhos,Manguinhos
Marataizes,Marataizes
Nova-Almeida,Nova Almeida
Pompeia,Pompeia
Pontada-Belina,Ponta da Belina
Pontada-Fruta,Ponta da Fruta
Pontada-Praia-Mole,Ponta da Praia Mole
Pontade-Bororo,Ponta de Bororo
Pontado-Cacao,Ponta do Cacao
Pontado-Ubu,Ponta do Ubu
Pontados-Castelhanos,Ponta dos Castelhanos
Praiada-Baleia_1,Praia da Baleia
Praiade-Camburi,Praia de Camburi
Praiado-Guriri,Praia do Guriri
Praiado-Morro,Praia do Morro
Praia-Grande_Vitoria,Praia Grande
Regencia,Regencia
Setiba,Setiba
Tropical,Tropical
Velzy-Land-Brazil,Velzyland
Xa,Xa
Abras,Abras
Baiada-Rata,Baia da Rata
Biboca,Biboca
Boldro,Boldro
Cacimbado-Padre,Cacimba do Padre
Conceicao,Conceicao
Isla-San-Jose,Isla San Jose
Meio,Meio
Araruna,Araruna
Atins,Atins
Pontad-Areia,Ponta d'Areia
Pontado-Farol,Ponta do Farol
Praiade-Sao-Marcos,Praia de Sao Marcos
Praiado-Calhau,Praia do Calhau
Praiado-Caolho,Praia do Caolho
Praia-Olhod-Agua,Praia Olho d'Agua
Caioba,Caioba
Guaratuba,Guaratuba
Ilhadas-Pecas,Ilha das Pecas
Ilhasdas-Palmas,Ilhas das Palmas
Matinhos,Matinhos
Paralelas,Paralelas
Pontaldo-Sul,Pontal do Sul
Praia-Brava_Matinhos,Praia Brava
Praiade-Fora_1,Praia de Fora
Praiade-Leste,Praia de Leste
Praia-Grande_Parana,Praia Grande
Cupe,Cupe
Gaibu,Gaibu
Galinhas-Harbour,Galinhas Harbour
Imposivel,Imposivel
Maracaipe,Maracaipe
Portode-Galinhas,Porto de Galinhas
Serrambi,Serrambi
Casa-Verde,Casa Verde
Coqueiros,Coqueiros
Curvao,Curvao
Farol_Piaui,Farol
Mar-Bravo,Mar Bravo
Pontal_Piaui,Pontal
Arpoador,Arpoador
Backdoor_1,Backdoor
Bambul,Bambul
Barrada-Tijuca,Barra da Tijuca
Barra-de-Guaratiba,Barra de Guaratiba
Barrede-Marica,Barre de Marica
Barrinha,Barrinha
Camboinhas,Camboinhas
Canal_1,Canal
Cantode-Jacone,Canto de Jacone
Cantodo-Leblon,Canto do Leblon
Caravelas,Caravelas
Figuera,Figuera
Geriba,Geriba
Grumari,Grumari
Ilhado-Pontal,Ilha Do Pontal
Itacoatiara,Itacoatiara
Itaipu_Rio,Itaipu
Itaipuacu,Itaipuacu
Itapuca,Itapuca
Itauna,Itaúna
Jacone,Jaconé
Lage,Lage
Laje-Rasa,Laje Rasa
Lopes-Mendes,Lopes Mendes (Ilha Grande)
Meioda-Praia,Meio da Praia
Pepino,Pepino
Piratininga,Piratininga
Ponta-Negra,Ponta Negra (Quebra Mar)
Praia-Brava,Praia Brava
Praia-Brava_Rio,Praia Brava
Praia-Brava_Rio_2,Praia Brava
Praia-Brava_Rio_1,Praia Brava
Praia-Da-Macumba,Praia da Macumba
Praiada-Vila_1,Praia da Vila
Praiadas-Conchas,Praia das Conchas
Praiadas-Dunas,Praia das Dunas
Praiade-Tucuns,Praia de Tucuns
Praiado-Forte,Praia do Forte
Praiado-Pero,Praia do Pero
Praia-Grande_Rio,Praia Grande
Praia-Seca,Praia Seca
Prainha-3,Prainha
Recreio,Recreio
Sao-Conrado,São Conrado
Saquarema,Saquarema
Segundinha,Segundinha
Abacateiro,Abacateiro
Afogadas,Afogadas
Areia-Preta,Areia Preta
Baia-Formosa,Baia Formosa
Cachimbinha,Cachimbinha
Cocoadas-Lavadeiras,Cocoa das Lavadeiras
Cotavelo,Cotavelo
Curral_1,Curral
Dique-de-Cabedelo,Dique de Cabedelo
Farol_1,Farol
Genipabu,Genipabu
Georgino-Avelino,Georgino Avelino
Lajao,Lajao (Baia dos Golfinhos)
Lajinha,Lajinha
Madeiro,Madeiro
Mar-Aberto,Mar Aberto
Marda-Frente,Mar da Frente
Miami,Miami
Picao,Picao (Baia Formosa)
Pirangi-Reef,Pirangi Reef
Ponta-Negra_1,Ponta Negra
Pontal_1,Pontal (Baia Formosa)
Praia-de-Intermares,Praia de Intermares
Praia-de-Pipa,Praia de Pipa
Praia-do-Amor,Praia do Amor
Praiados-Artistas,Praia dos Artistas
Saji,Saji
Sororoca,Sororoca
Tabatinga,Tabatinga
Tibaudo-Sul,Tibau do Sul
Touros-Area,Touros Area
Urcada-Conceicao,Urca da Conceicao
Xilaozinho,Xilaozinho
Xoxoline,Xoxoline
Atlantida,Atlantida
Balneario-Novo-Quintao,Balneario Novo Quintao
Barrado-Chui,Barra do Chui
Cantaoda-Praia-Grande,Cantao da Praia Grande
Capaoda-Canoa,Capao da Canoa
Cassino,Cassino
Guarita,Guarita
Hermenegildo,Hermenegildo
Ilhados-Lobos,Ilha dos Lobos
Molhesde-Mampituba,Molhes de Mampituba
Novo-Quintao,Novo Quintao
Praiada-Cal,Praia da Cal
Prainha_3,Prainha
Querencia,Querencia
Rio-Grande-Jetties,Rio Grande Jetties
Salinas_1,Salinas
Sao-Joaodo-Norte,Sao Jose do Norte
Tramandai,Tramandai
Tramandai-Pier,Tramandai Pier (Platforma)
Armacao,Armacao
Barra-da-Lagoa,Barra da Lagoa
Caldeirao,Caldeirao
Campeche,Campeche
Canasvieiras,Canasvieiras
Galheta,Galheta
Ingleses,Ingleses
Joaquina,Joaquina
Lagoinhado-Leste,Lagoinha do Leste
Lambe-Lambe-1,Lambe Lambe
Matadeiro,Matadeiro
Mocambique,Mocambique
Morrodas-Pedras,Morro das Pedras
Naufragados,Naufragados
Pantano-do-Sul,Pantano do Sul
Ponta-Das-Aranhas,Ponta Das Aranhas
Ponta-Do-Rapa,Ponta Do Rapa
Praia-Brava-3,Praia Brava
Praia-da-Solidao,Praia da Solidao (Caladinho)
Praia-do-Forte-2,Praia do Forte
Praia-Dos-Acores,Praia Dos Acores
Praia-Mole,Praia Mole
Riozinho,Riozinho
Santinho,Santinho
Atalaia,Atalaia (Molhes)
Balneariode-Camboriu,Balneario de Camboriu
Barrado-Sai,Barra do Sai
Barrado-Sul,Barra do Sul
Barra-Velha,Barra Velha
Barredo-Sai,Barre do Sai
Bombas,Bombas
Bombinhas,Bombinhas
Canoas,Canoas (Central)
Estaleirinho,Estaleirinho
Estaleiro-Reef,Estaleiro Reef
Praia-De-Gravata,Gravatá (Navegantes)
Itajuba-Praia-do-Sol,Itajuba Praia do Sol
Itajuba-Reef,Itajuba Reef
Meia-Praia-1,Itapema - Meia Praia
Itapema,Itapema - Norte
Itapema-1,Itapema - Sul
Laje-do-Jacques,Laje do Jacques
Mariscal,Mariscal
Moco,Moco
Molhe-de-Picarras,Molhe de Picarras
Morcego,Morcego
Navegantes,Navegantes
Parcel,Parcel
Pontada-Pinheira,Ponta da Pinheira
Pontada-Tataruga,Ponta da Tataruga
Ponta-do-Cabeco,Ponta do Cabeco
Pontado-Silencio,Ponta do Silencio
Praia-Brava_1,Praia Brava
Palmas,Praia de Palmas
Praiade-Ubatuba,Praia de Ubatuba
Praiado-Pinho,Praia do Pinho
Praiado-Plaza,Praia do Plaza
Praiado-Quilombo,Praia do Quilombo
Praia-Dos-Amores,Praia Dos Amores
Praia-Grande_1,Praia Grande
Prainha_4,Prainha
Prainha_5,Prainha
Quatro-Ilhas,Quatro Ilhas
Quilombo-Reef,Quilombo Reef
Tingua,Tingua
Barrade-Ibiraquera,Barra de Ibiraquera
Barrinha_1,Barrinha
Cardoso,Cardoso
Cigana,Cigana
Ferrugem,Ferrugem
Galhetado-Norte,Galheta do Norte
Galhetado-Sul,Galheta do Sul
Gamboa,Gamboa
Gi,Gi
Gravata,Gravata
Guardado-Embau,Guarda do Embau
Itapiruba-North-Side,Itapiruba North Side
Itapiruba-South-Side,Itapiruba South Side
Laguna,Laguna (Os Molhes)
Luz_1,Luz
Morrosdos-Conventos,Morros dos Conventos
Mystos_1,Mystos
Ouvidor,Ouvidor
Pedra-Magra,Pedra Magra
Praia-Cardoso,Praia Cardoso
Praiad-Agua,Praia d'Agua
Praiada-Vila,Praia da Vila
Praiade-Garopaba,Praia de Garopaba
Praia-do-Gravata,Praia do Gravatá
Praiado-Porto,Praia do Porto
Praiado-Rincao,Praia do Rincao
Ipua,Praia do Ypuã (Ipua)
Prainha_2,Prainha
Prainhado-Farol,Prainha do Farol
Prainhados-Molhes,Prainha dos Molhes (Escondido)
Ravena,Ravena
Ribanceira,Ribanceira
Rosa,Rosa
Silveira,Silveira
Siriu,Siriu
Tereza,Tereza
Vermelha,Vermelha
Balneario-Sao-Jose,Balneario Sao Jose
Bananas-Point,Bananas Point
Barrado-Ribeira,Barra do Ribeira
Barrado-Sahy,Barra do Sahy
Barrado-Una,Barra do Una
Barreda-Una,Barre da Una
Boicucanga,Boicucanga
Bonete,Bonete (Ilha Bela)
Brava-do-Camburi,Brava do Camburi Leste
Brava-Camburi-Oeste,Brava do Camburi Oeste
Camburi,Camburi
Canto-Bravo,Canto Bravo (Ilha Bela)
Cantodo-Moreira,Canto do Moreira
Carambore,Carambore
Cibratel,Cibratel
Embare,Embare
Gongaza,Gongaza
Guaiaba,Guaiaba
Guarau,Guarau
Ilha,Ilha
Ilha-Comprida,Ilha Comprida
Ilha-Porchat,Ilha Porchat
Itaipu,Itaipu
Itamambuca,Itamambuca
Itanhaem,Itanhaem
Lagoinha,Lagoinha
Laranjeiras,Laranjeiras
Maranduba,Maranduba
Maresias,Maresias
Massaguacu,Massaguacu
Mongagua,Mongagua
Morrodo-Jureia,Morro do Jureia
Morrodo-Maluf,Morro do Maluf
Pauba,Pauba
Pereque,Pereque
Pereque-Acu,Pereque-Acu
Pernambuco,Pernambuco
Peruibe,Peruibe
Pitangueiras,Pitangueiras
Pontado-Baguari,Ponta do Baguari
Ponta-do-Bonete,Ponta do Bonete
Ponta-Grossa_1,Ponta Grossa
Portado-Sol,Porta do Sol
Praia-Branca,Praia Branca
Praia-Brava-Citadel,Praia Brava Citadel
Praia-Bravada-Almada,Praia Brava da Almada
Praiada-Baleia,Praia da Baleia
Praiada-Bertioga,Praia da Bertioga
Praiada-Boraceia,Praia da Boraceia
Praiada-Enseada,Praia da Enseada
Praiada-Fazenda,Praia da Fazenda
Praiada-Ponta-Grossa,Praia da Ponta Grossa
Asturias,Praia de Asturias
Praiade-Fora,Praia de Fora
Praia-do-Aventureiro,Praia do Aventureiro
Praia-do-Bonete,Praia do Bonete
Praiado-Felix,Praia do Felix
Praiado-Guaeca,Praia do Guaeca
Praiado-Iporanga,Praia do Iporanga
Praiado-Juquei,Praia do Juquei
Praiado-Mar-Casado,Praia do Mar Casado
Praiado-Tombo,Praia do Tombo
Praiados-Castelhanos,Praia dos Castelhanos (Ilha Bela)
Praiados-Pescadores,Praia dos Pescadores
Praia-Dura,Praia Dura
Praia-Grande_2,Praia Grande
Praia-Grande_Ubatuba,Praia Grande (Ubatuba)
Praia-Grande-Bonete,Praia Grande Bonete
Praia-Preta,Praia Preta
Praia-Preta_1,Praia Preta
Praia-Prumirim,Praia Prumirim
Praia-Tenorio,Praia Tenório
Praia-Ubatumirim,Praia Ubatumirim
Praia-Vermelhado-Norte,Praia Vermelha do Norte
Praiao,Praiao
Quebra-Mar,Quebra Mar
Saco-da-mae,Saco da Mãe
Sao-Lourenco_1,Sao Lourenco
Sao-Pedro,Sao Pedro
Sape,Sapê
Sonho,Sonho
Toninhas,Toninhas
Vermelha-do-Centro,Vermelha do Centro
Vermelhado-Sul,Vermelha do Sul
Aracaju,Aracaju
Cantode-Sarney,Canto de Sarney
Hawaiizinho_1,Hawaiizinho
Mosqueiro,Mosqueiro
Pirambu,Pirambu
Pontado-Mangue,Ponta do Mangue
Praiado-Meio_1,Praia do Meio
Loblolly-Bay,Loblolly Bay
Soldier-Point,Soldier Point
West-End_1,West End
Green-Cay,Green cay
Sandy-Cay,Sandy Cay
North-Side,North Side
East-Side,East Side
Brewers-Bay,Brewers Bay
Cane-Garden-Bay,Cane Garden Bay
Capoons-Bay,Capoons Bay - Bombas
Carot-Bay,Carot Bay
Cooten-Bay,Cooten Bay
Elizabeth-Bay,Elizabeth Bay
Great-and-Little-Carrot-Bays,Great and Little Carrot Bays
Josiahs-Bay,Josiahs Bay
Long-Bay,Long Bay
Lava-Flows,Rogues Bay - Lava Flows
Smugglers-Cove,Smugglers cove
Trunk-Bayto-Shark-Bay,Trunk Bay - Shark Bay
Copper-Mine-Bay,Copper Mine Bay
Yacht-Harbour,Yacht Harbour
Berakas-Beach,Berakas Beach
Tanjung-Batu,Tanjung Batu
Pantai_Tungku,Tungku Beach or KM26
Ahtopol,Ahtopol
Harmani,Harmani
Lozenets,Lozenets Beach
Melnitza,Melnitza
Shabla,Shabla
Silistar,Silistar
Vama-Veche,Vama Veche
Varvara,Varvara
Bamboo-Island,Bamboo Island
Sihanoukville,Sihanoukville
Kribi,Kribi
Seme-Beach-Limbe,Seme Beach Limbe
Ingonish-Beach,Ingonish Beach
Kennington-Cove,Kennington Cove
Michaud-Point,Michaud Point
Crystal-Beach,Crystal Beach
Erie-Beach,Erie Beach
Long-Point2,Long Point
Pelee-Point,Pelee Point
Point-Aux-Pins,Point Aux Pins
Point-Burwell,Point Burwell
Port-Bruce,Port Bruce
Port-Colborne,Port Colborne
Port-Stanley,Port Stanley
Bayfield,Bayfield
Manitoulin-Island,Manitoulin Island
Sauble-Beach,Sauble Beach
Bluffers,Bluffers
Hamilton,Hamilton
Oshawa,Oshawa
Presquile-Point,Presquile Point
Richardson-Beach,Richardson Beach
Sandbanks-Provincial-Park,Sandbanks Provincial Park
St-Catharines,St Catharines
Toronto-Breaks,Toronto Breaks
Wolfe-Island,Wolfe Island
Alona-Bay,Alona Bay
Marathon,Marathon
Backyards,Backyards
Broad-Cove,Broad Cove
Cherry-Hill,Cherry Hill
Cow-Bay,Cow Bay
Hirdles,Hirtle's Beach (Hartling Bay)
Lawrencetown-Left-Point,Lawrencetown Left Point
Lawrencetown-Reef,Lawrencetown Reef
Lawrencetown-Right-Point,Lawrencetown Right Point
Martinique,Martinique
Minutes,Minutes
Moose,Moose
Osbourne,Osbourne
Scotts-Bay,Scotts Bay
Summerville,Summerville
Western-Head-Point,Western Head Point
Western-Head-Reef,Western Head Reef
White-Point-Beach,White Point Beach
Ambleside-Park,Ambleside Park
China-Beach-1,China Beach
Cox-Bay,Cox Bay
Florencia-Bay,Florencia Bay
Jordan-River,Jordan River
Lepus-Beach-Haida-Gwaii,Lepus Beach (Haida-Gwaii)
Long-Beach_6,Long Beach (Tofino Airport)
Nootka-Island,Nootka Island (Calvin Bay)
Port-Renfrew,Port Renfrew
Rosies-Bay,Rosie's Bay
Sombrio-Beach,Sombrio Beach
Chesterman-Beach,South Chesterman Beach
Tofino,Tofino (North Chestermans Beach)
Tow-Hill-Beach,Tow Hill Beach
Wickaninnish,Wickaninnish
Alibaba,Alibaba
Coca-s-Beach-Praia,Cocas Beach / Praia Negra
Coragi,Coragi
Curral-Joul,Curral Joul
Fontana,Fontana
Fragata,Fragata
Monte-Leao,Monte Leao
Palmeira,Palmeira
Pontado-Sino,Ponta do Sino
Ponta-Preta,Ponta Preta
Santa-Maria_1,Santa Maria
Spoutnik,Spoutnik
Seven-Mile-Beach-1,7 Mile Beach
East-End,East End
South-Sound,South Sound
Andromeda,Andromeda
Budeo,Budeo
Chigualoco,Chigualoco
Choralillo,Choralillo
Cordeles,Cordeles
Cupula,Cupula
Hornitos,Hornitos
Huascar,Huascar
Isla-Santa-Maria,Isla Santa Maria
La-Portada,La Portada
La-Puntilla_3,La Puntilla
La-Serena-Avenida-del-Mar,La Sarena (Avenida del Mar)
Nuluhaga,Nuluhaga
Penarol,Penarol
Piedraddel-Lobo,Piedra del Lobo
Playa-Blanca-1,Playa Blanca
Pozo-Verde,Pozo Verde
Punta-Choros,Punta Choros
Ram-Five,Ram5
Teniente,Teniente (Lieutenant)
Totoralillo,Totoralillo
Arenillas-Negras,Arenillas Negras
El-Brazo,El Brazo
El-Buey,El Buey
El-Chinchorro_1,El Chinchorro
El-Gringo,El Gringo
El-Puerto,El Puerto
El-Rancio,El Rancio
El-Toro-Viejo,El Toro Viejo
La-Brava,La Brava
La-Isla_1,La Isla
La-Puntilla_1,La Puntilla
Las-Machas,Las Machas
Buchupureo,Buchupureo
Las-Penas-Point,Las Peñas
Lebu,Lebu
Playa-Blanca-2,Playa Blanca - Lota
Purema,Purema
Akahanga,Akahanga
Anakena,Anakena
Hanga-Nui,Hang Nui
Hanga-Poukura,Hanga Poukura
Huareva,Huareva
Koe-Koe,Koe Koe
Mata-Veri,Mata Veri
Motu-Hava,Motu Hava
Ovahe,Ovahe
Pakaia,Pakaia
Papa-Tenga-Roa,Papa Tangaroa
Tanga-Roa,Papa Tangaroa
Tahai,Tahai
Toroko,Toroko
Vaihu,Vaihu
Viri-Inga-O-Tuki,Viri Inga O Tuki
Algarrobo,Algarrobo
Cachagua,Cachagua
Cartagena,Cartagena
El-Claron,El Claron
Infernillo,Infernillo
Isla-Negra,Isla Negra
La-Boca-Con-Con,La Boca Con Con
La-Boquilla,La Boquilla
La-Puntilla-2,La Puntilla - Pichilemu
Las-Salinas_1,Las Salinas
Maitencillo,Maitencillo
Matanzas,Matanzas
Papagayo,Papagayo
Playa-Amarilla,Playa Amarilla
Ahogados,Playa de los Ahogados
Puertecillo,Puertecillo
Puntade-Lobos,Punta de Lobos
Punta-Topocalma,Punta Topocalma
Renaca,Renaca
Ritoque,Ritoque
Santo-Domingo,Santo Domingo
Barrancon,Barrancon
Caleta-Loa,Caleta Loa
Caletita-Buena,Caletita Buena
Caramucho,Caramucho
La-Bestia,El Bajo / La Bestia
El-Colegio,El Colegio
El-Faro_2,El Faro
Huayquique,Huayquique
Intendencia,Intendencia
La-Capilla,La Capilla
La-Piscina,La Piscina
La-Punta-Dos,La Punta Dos
La-Punta-Uno,La Punta Uno
Las-Urracas,Las Urracas
Palo-Buque,Palo Buque
Playa-Brava,Playa Brava
Playa-Cavancha,Playa Cavancha
Punta-Aguila,Punta Aguila
Punta-Gruesa,Punta Gruesa
Funingwan,Funingwan
Haitan-Bay,Haitan Bay (Haitan Dao)
Qingshan-Bay,Qingshan Bay
Da-Mei-Sha-Beach,Da Mei Sha Beach
Dongchong,Dongchong
Hong_Hai_Bay_surf_break_88,Hong Hai Bay (88)
Jieshi-Bay,Jieshi Bay
Xiyong,Xiyong (Xi-Chong)
Dadonghai,Dadonghai
Jinzonglu,Jinzonglu
Ocean-Bay-Golf-Club,Ocean Bay Golf Club
Riyue-Bay,Riyue Bay (Riyuewan)
Big-Wave-Bay,Big Wave Bay
Clubhouse-Point,Clubhouse Point
Fung-Bay,Fung Bay
Lantau-Island,Lantau Island
Repulse-Bay,Repulse Bay
Sai-Wan-Beach,Sai Wan Beach
Shek-O_1,Shek O
Shelter-Island_1,Shelter Island
Tat-Mun-Island,Tat Mun Island
Hac-sa-Beach,Macau Hacsa Beach
Mazu-Eikon,Mazu-Eikon
Wujiao-Bay-Dongshan-Dao,Wujiao Bay (Dongshan Dao)
Jetty-s,Jetty's
Arrecifes,Arrecifes
Buritaca,Buritaca
Cabo-La-Vela,Cabo de la Vela
Canaveral,Cañaveral
Castillogrande,Cartagena - Castillo Grande
Hilton_1,Cartagena - Hilton
Cartagena-Jetty,Cartagena - Jetty
